,sqfeet,beds,baths,income,density,rental,sale,TBE
54,1531.7384044233127,1,1,20216.472131234383,17480.630757338142,3729.108,297368.695,79.74258053132277
55,978.2061488498406,2,1,26236.309333017518,18561.425676093488,3068.792753246753,127744.5,41.626955702644814
56,1369.390470859743,1,2,29220.506139727193,18593.032667390646,3214.964,162910.63095238095,50.67261435971941
57,1531.7384044233127,1,1,20217.7140183908,18872.31922288388,3665.742,272945.5,74.45845888772314
58,1046.0535771759464,1,1,19968.799866441568,17872.95558885157,2688.2364333333335,106065.74962698414,39.45551377542553
59,1606.103151234541,1,1,20040.762010132617,17501.125590575655,3778.044,344521.445,91.19042684521409
60,1046.0535771759464,1,1,19766.31021281163,18156.195387144162,2689.4031,107014.51087698413,39.79117555006319
61,1420.6380785265087,1,1,20012.89123876931,18536.52012153128,3627.966,258314.0,71.20077751555554
62,1021.1742058474788,1,1,18544.86457094126,18440.3344105398,3178.332920634921,158329.0,49.81510872321435
63,1369.9121591700043,1,2,20200.414753286273,18578.322716530016,3444.864,173494.5,50.36323640062423
64,1464.2222371826404,1,1,18707.763737403813,19261.29302197992,3531.888,228215.5,64.61572394141604
65,1369.390470859743,1,2,29220.506139727193,18579.226909366105,3214.964,162910.63095238095,50.67261435971941
66,1369.390470859743,1,1,29220.506139727193,18579.226909366105,3214.964,162910.63095238095,50.67261435971941
67,978.2061488498406,1,2,12759.345167757594,18586.334289988416,2737.252619480519,114100.0,41.68413217982567
68,1021.2589909217637,1,1,19830.98014172892,18566.115620221353,3190.449587301587,161753.0,50.69912423747375
69,1420.6380785265087,1,1,20012.89123876931,18536.52012153128,3627.966,258314.0,71.20077751555554
70,1369.4198073364912,1,2,29220.506139727193,18579.226909366105,3214.964,162910.63095238095,50.67261435971941
71,1373.0736798983635,1,2,20210.460821071436,18640.731804669198,3422.696,173077.5,50.56759349939346
72,1012.9608461160456,1,1,18659.242577661313,17804.94437077304,3072.3808253968255,155198.495,50.51408136553343
73,1557.3163184684418,2,1,106903.87489142099,40689.13197953589,3921.544,1020645.0,260.2661094711675
74,920.5084943433162,1,1,18715.890798498043,8681.105708294079,1806.888380952381,59350.331168831166,32.846705858802736
75,1448.873394737928,1,1,18133.871030887713,19341.17783193024,3526.136,227105.5,64.40633600065341
76,1366.856442328601,1,2,20217.67815233146,18536.694083450788,3445.054,175469.0,50.93359929916918
77,978.2061488498406,1,2,13250.241600638143,18586.334289988416,2737.252619480519,114100.0,41.68413217982567
78,1416.649352730955,1,2,20186.205968556635,18578.322716530016,3620.676,242606.5,67.00585746971008
79,1616.7706482632311,1,1,19854.61221535721,17864.039120620208,3749.152,334644.445,89.25870303471292
80,1369.390470859743,1,2,29220.506139727193,18593.524640598724,3214.964,162910.63095238095,50.67261435971941
81,1531.7384044233127,1,1,20217.7140183908,18835.72176027764,3665.742,272945.5,74.45845888772314
82,1012.9608461160456,1,2,18659.242577661313,17804.94437077304,3072.3808253968255,155198.495,50.51408136553343
83,1039.3359723182211,1,1,19894.082127710863,18821.857323058517,2681.302166666667,79959.75472222222,29.821239738013695
84,1531.7384044233127,1,1,20217.7140183908,18607.202702687984,3673.47,285869.5,77.82001758555263
85,1373.0736798983635,1,1,20210.460821071436,18640.731804669198,3422.696,173077.5,50.56759349939346
86,1420.6380785265087,1,1,20012.89123876931,18536.52012153128,3627.966,258314.0,71.20077751555554
87,1021.2589909217637,1,1,19856.38341502037,18575.474681239953,3190.449587301587,161753.0,50.69912423747375
88,1369.390470859743,1,2,20593.283032813008,18579.01275638524,3444.864,173494.5,50.36323640062423
89,1023.2309354615236,1,1,18793.55501232216,18566.115620221353,3184.641587301587,159315.495,50.02619309979912
90,1464.2222371826404,1,1,18635.981935750908,19261.29302197992,3531.888,228215.5,64.61572394141604
91,1624.7903669610546,1,1,20339.3109355382,18554.63895557057,3734.714,334119.945,89.46332838337823
92,1531.7384044233127,1,1,20217.7140183908,18835.72176027764,3665.742,272945.5,74.45845888772314
93,1046.0535771759464,1,1,19766.31021281163,18156.195387144162,2689.4031,107014.51087698413,39.79117555006319
94,1531.7384044233127,1,1,20217.7140183908,18835.72176027764,3665.742,272945.5,74.45845888772314
95,1531.7384044233127,1,1,20359.487843234492,18835.72176027764,3665.742,272945.5,74.45845888772314
96,1464.2222371826404,1,1,18496.764658235606,19261.29302197992,3531.888,228215.5,64.61572394141604
97,1046.0535771759464,1,1,19766.31021281163,18156.195387144162,2689.4031,107014.51087698413,39.79117555006319
98,1369.390470859743,1,2,29220.506139727193,18579.226909366105,3214.964,162910.63095238095,50.67261435971941
99,1680.6580226327878,1,1,20175.71553896598,17452.484284489536,3802.724,371508.395,97.6953349756648
